ردیف,عنوان,آیدی رهسار,عنوان رهسار
0,دارایی‌ها,,
1,دارايی‌های غیرجاری,,
2,دارایی‌های ثابت مشهود,692.0,
3,سرمایه‌گذاری در املاک,,
4,دارایی‌های نامشهود,693.0,
5,سرمایه‌گذاری‌های بلندمدت,,
6,دریافتنی‌های بلندمدت,,
7,سایر دارایی‌ها,838.0,
8,جمع دارایی‌های غیرجاری,,
9,دارایی‌های جاری,,
10,سفارشات و پیش‌پرداخت‌ها,691.0,
11,موجودی مواد و کالا,690.0,
12,دریافتنی‌های تجاری و سایر دریافتنی‌ها,1014.0,
13,سرمایه‌گذاری‌های کوتاه‌مدت,969.0,
14,موجودی نقد,687.0,
15,دارایی‌های نگهداری شده برای فروش,974.0,دارایی های غیرجاری نگهداری شده برای فروش
16,جمع دارایی‌های جاری,,
17,جمع دارایی‌ها,,
18,حقوق مالکانه و بدهی‌ها,,
19,حقوق مالکانه,,
20,سرمايه,702.0,
21,افزایش سرمایه در جریان,,
22,صرف سهام,970.0,
23,صرف سهام خزانه,1013.0,
24,اندوخته قانونی,703.0,
25,ساير اندوخته‌ها,704.0,
26,مازاد تجدیدارزيابی دارایی‌ها,955.0,
27,تفاوت تسعیر ارز عملیات خارجی,,
28,سود (زيان) انباشته,705.0,
29,سهام خزانه,981.0,
30,جمع حقوق مالکانه,,
31,بدهی‌ها,,
32,بدهی‌های غیرجاری,,
33,پرداختنی‌های بلندمدت,929.0,حساب‌ها و اسناد پرداختنی بلندمدت
34,تسهیلات مالی بلندمدت,700.0,تسهیلات مالی دریافتنی بلندمدت
35,ذخیره مزایای پایان خدمت کارکنان,701.0,
36,جمع بدهی‌های غیرجاری,,
37,بدهی‌های جاری,,
38,پرداختنی‌های تجاری و سایر پرداختنی‌ها,1015.0,
39,مالیات پرداختنی,,
40,سود سهام پرداختنی,762.0,
41,تسهیلات مالی,,
42,ذخایر,941.0,سایر ذخایر
43,پیش‌دریافت‌ها,755.0,
44,بدهی‌های ‌مرتبط ‌با دارایی‌های نگهداری‌‌شده برای ‌فروش,975.0,بدهیهای مرتبط با داراییهای غیر جاری نگهداری شده برای فروش
45,جمع بدهی‌های جاری,,
46,جمع بدهی‌ها,,
47,جمع حقوق مالکانه و بدهی‌ها,,